학번,학생이름,전화번호,주소,학년,학과
S0001,갈한수,010-9615-0363,경남 김해시 어방동 1088-7,3,D008
S0002,강이찬,010-2139-2767,강원도 속초시 대포동 956-5,1,D006
S0003,개원훈,010-4273-0184,경북 영천시 문외동 38-3번,1,D003
S0004,경시현,010-1632-2111,서울시 구로구 구로동 3-35번지,1,D009
S0005,공동영,010-4369-5477,강원도 동해시 천곡동 1077-3,2,D004
S0006,기대연,010-9639-9546,대구 수성구 수성3가 322-1번지,2,D010
S0007,기원호,010-7210-4544,울산시 울주군 서생면 간절곶해안길 205,3,D009
S0008,기은성,010-3493-7671,거제시 장승포동 702-4,2,D006
S0009,나한율,010-2231-4366,경기도 이천시 창전동 166-13번지,2,D008
S0010,남동예,010-6008-3422,경남 밀양시 내일동 649-7,4,D008
S0011,낭시우,010-4959-2047,경기도 파주시 문산읍 문산리 61-35번지,3,D003
S0012,내세원,010-7284-0937,충북 증평군 증평읍 창동리 65번지,2,D010
S0013,뇌성수,010-4468-4138,제주시 연동 1482번지,2,D004
S0014,단수혁,010-4215-3880,울산시 남구 옥동 143-12,1,D003
S0015,담성민,010-8726-1250,강원도 속초시 중앙로 150-1,1,D009
S0016,담원준,010-7611-0144,전남 나주시 대호동 1029-2,4,D006
S0017,담장호,010-1931-7885,경북 구미시 옥계동 840번지,1,D009
S0018,독고예준,010-4101-0624,경기도 이천시 신둔면 용면리 120번지,3,D002
S0019,돈송혁,010-7880-3334,충북 충주시 가금면 용전리 92번지,4,D003
S0020,돈재현,010-2591-1857,제주특별자치도 서귀포시 대정읍 상모리 133-8 번지,2,D002
S0021,두동환,010-2545-3790,경기도 파주시 금촌동 987-6번지,1,D001
S0022,두채훈,010-3531-6627,제주특별자치도 서귀포시 대정읍 상모리 133 번지,2,D010
S0023,명윤일,010-5213-2522,서울시 강서구 화곡동 1006-9,2,D009
S0024,모재원,010-1606-6390,서울시 강서구 가양동 1479-9,2,D008
S0025,문은진,010-2707-5295,인천시 서구 검암동 606-7,4,D010
S0026,박수혁,010-9439-2837,경기도 화성시 능동 445-2,2,D002
S0027,방윤후,010-7457-9663,경기도 고양시 일산동구 장항동 86,4,D007
S0028,방채호,010-7811-6924,서울시 관악구 신림동 1640-3,4,D005
S0029,배세준,010-6222-8367,경기도 양평군 양평읍 양근리 201-15,2,D003
S0030,배채호,010-1313-0572,대구시 동구 율하동 1223,2,D002
S0031,변재호,010-8221-0523,전북 부안군 변산면 격포리 290-1,3,D008
S0032,복재민,010-7250-1519,강원도 원주시 행구동 1847-3,2,D007
S0033,복준완,010-5640-4256,충남 아산시 배방읍 복수리 1019,2,D005
S0034,비현호,010-3039-4477,울산시 동구 서부동 113-48,2,D008
S0035,빈성희,010-8549-7734,경기도 화성시 봉담읍 동화리 113-1번지,3,D004
S0036,사성준,010-7283-1175,경남 창원시 대방동 자양로 136,4,D005
S0037,사원혁,010-2623-9069,서울시 도봉구 쌍문동 45-8,1,D008
S0038,사원호,010-1946-9170,경남 창원시 진해구 이동 464-2번지,2,D006
